title,url,page_views
Tucker Carlson Hates Both Colbert And The 'Twitter Chick' Behind #CancelColbert,http://talkingpointsmemo.com/livewire/tucker-carlson-stephen-colbert-cancel-colbert-twitter-chick,1916
Scarborough Calls Treatment Of Ex-Christie Aide Kelly 'Shameful',http://talkingpointsmemo.com/livewire/scarborough-christie-bridge-kelly,467
Registered Sex Offender And Convicted Killer Runs For CA Guv,http://talkingpointsmemo.com/livewire/glenn-champ-california-gubernatorial-race,46
"Anti-Ford Posters Promote Candidates Who Only Drink, Smoke Pot (PHOTOS)",http://talkingpointsmemo.com/livewire/anti-rob-ford-posters,94
Obama Endorses Sen. Schatz Over Challenger Hanabusa In Hawaii,http://talkingpointsmemo.com/livewire/obama-endorse-brian-schatz,103
Sebelius: We Saw A 'Galifinakis Bump' On HealthCare.gov,http://talkingpointsmemo.com/livewire/sebelius-galifianakis-between-two-ferns,73
Michigan GOP Senate Candidate 'Open' To Minimum Wage Hike,http://talkingpointsmemo.com/livewire/terri-lynn-land-open-looking-at-minimum-wage-hike,16
David Koch Once Backed Candidate Who Called Social Security A 'Pyramid Scheme',http://talkingpointsmemo.com/livewire/david-koch-ed-clark-libertarian-candidate-abolish-social-security,48
Fox News Shortchanges Obamacare Enrollment With Misleading Graphic,http://talkingpointsmemo.com/livewire/fox-news-obamacare-graphic,3609
"Sebelius: No, We Are Not 'Cooking The Books' On Obamacare Sign-Ups",http://talkingpointsmemo.com/livewire/sebelius-barasso-cooking-books-obamacare,168
Fox News Host Grills Lindsey Graham About GOP's Missing Obamacare Alternative (VIDEO),http://talkingpointsmemo.com/livewire/fox-grills-graham-obamacare-alternative,6000
NRA Board Member Wants No Part Of What 'May Happen' At Big NY Gun Rally,http://talkingpointsmemo.com/livewire/thomas-king-gun-control-rallies,1992
READ: The New Paul Ryan Budget,http://talkingpointsmemo.com/livewire/paul-ryan-new-budget-read,230
Boston Marathon Bombing Victim Sues Glenn Beck For Defamation,http://talkingpointsmemo.com/livewire/boston-bombing-victim-sues-glenn-beck-defamation,4947
Obama To Deliver Statement On Obamacare At 4:15PM ET,http://talkingpointsmemo.com/livewire/obama-obamacare-statement,145
Ted Cruz Shows Off His New Winston Churchill Tattoo (VIDEO),http://talkingpointsmemo.com/livewire/ted-cruz-winston-churchill-tattoo,60
MSNBC's Ronan Farrow Has Had A Very Rough Day,http://talkingpointsmemo.com/livewire/ronan-farrow-bad-ratings-canceled-graphics-fail,10066
Senate Democrats Threaten Repeated Votes On Minimum Wage,http://talkingpointsmemo.com/livewire/tom-harkin-minimum-wage-vote,319
HealthCare.gov Reports 'Record Volume' On Obamacare Deadline Day,http://talkingpointsmemo.com/livewire/healthcaregov-record-volume-march-31,131
Mass. Guv Candidate Turns His Kidney Stone Into a Fundraising Pitch,http://talkingpointsmemo.com/livewire/mass-guv-candidate-steve-grossman-fundraises-off-kidney-stone,72
Poll: Obamacare Support Breaks Even For First Time,http://talkingpointsmemo.com/livewire/washpo-abc-news-obamacare-poll-march-31,6959
Sebelius: 80-90% Of Obamacare Enrollees Have Paid First Premium,http://talkingpointsmemo.com/livewire/sebelius-obamacare-premiums-80-90-percent,586
"Carney: If We Were 'Cooking The Books' On Obamacare, Wouldn't We Have Done It Sooner?",http://talkingpointsmemo.com/livewire/carney-cooking-books-obamacare,1203
Harry Reid Endorses Sen. Brian Schatz,http://talkingpointsmemo.com/livewire/harry-reid-endorses-brian-schatz,483
Paul Ryan Will Release His New Budget On Tuesday,http://talkingpointsmemo.com/livewire/paul-ryan-budget-release,122
CNN Pretends To Search For Missing Airplane From A Flight Simulator In Canada (VIDEO),http://talkingpointsmemo.com/livewire/cnn-flight-simulator-canada,1203
Silver: Dem's Farmer Remark Makes GOP Iowa Victory 'More Plausible',http://talkingpointsmemo.com/livewire/nate-silver-bruce-braley-farmer-iowa,44
Powerful Ways And Means Committee Chairman Dave Camp To Retire,http://talkingpointsmemo.com/livewire/dave-camp-to-retire,790
Colbert Declares Victory: 'Dark Forces' Of #CancelColbert Have Been Thwarted (VIDEO),http://talkingpointsmemo.com/livewire/stephen-colbert-addresses-cancel-colbert,1538
